Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",51.280000,62.000000,0.000000,top
"C2","100nF","C_0402_1005Metric",53.820000,82.290000,0.000000,top
"C3","47uF 10V 1206","C_1206_3216Metric",16.715000,61.750000,0.000000,top
"C4","100nF","C_0402_1005Metric",56.535000,26.455000,90.000000,top
"C5","100nF","C_0402_1005Metric",67.535000,26.455000,90.000000,top
"C6","100nF","C_0402_1005Metric",100.535000,26.455000,90.000000,top
"C7","100nF","C_0402_1005Metric",89.535000,26.455000,90.000000,top
"C8","100nF","C_0402_1005Metric",78.535000,26.455000,90.000000,top
"C9","100nF","C_0402_1005Metric",45.535000,26.455000,90.000000,top
"C10","100nF","C_0402_1005Metric",34.535000,26.455000,90.000000,top
"C11","100nF","C_0402_1005Metric",23.535000,26.455000,90.000000,top
"C12","100nF","C_0402_1005Metric",12.535000,26.455000,90.000000,top
"C13","100nF","C_0402_1005Metric",1.535000,26.455000,90.000000,top
"C14","100nF","C_0402_1005Metric",57.250000,65.075000,180.000000,top
"C15","10nF","C_0402_1005Metric",42.125000,104.120000,180.000000,top
"C16","47uF 10V 1206","C_1206_3216Metric",39.605000,101.620000,180.000000,top
"C17","100nF","C_0402_1005Metric",53.250000,95.320000,0.000000,top
"C18","100nF","C_0402_1005Metric",52.250000,96.870000,0.000000,top
"C19","100nF","C_0402_1005Metric",52.260000,106.620000,0.000000,top
"C20","10nF 1kV 0805","C_0805_2012Metric",27.510000,114.000000,180.000000,top
"C21","100nF","C_0402_1005Metric",73.990000,102.500000,0.000000,top
"C22","100nF","C_0402_1005Metric",55.000000,80.620000,180.000000,top
"C23","100nF","C_0402_1005Metric",87.610000,16.000000,90.000000,top
"C24","100nF","C_0402_1005Metric",42.125000,105.620000,180.000000,top
"C25","100nF","C_0402_1005Metric",88.275000,48.000000,90.000000,top
"C26","100nF","C_0402_1005Metric",75.275000,48.000000,90.000000,top
"C27","100nF","C_0402_1005Metric",62.275000,48.000000,90.000000,top
"C28","100nF","C_0402_1005Metric",49.275000,48.000000,90.000000,top
"C29","1uF","C_0402_1005Metric",55.880000,50.000000,270.000000,top
"C30","1uF","C_0402_1005Metric",96.000000,50.000000,270.000000,top
"C31","1uF","C_0402_1005Metric",0.000000,30.000000,270.000000,top
"D1","RED LED 0603","LED_0603_1608Metric",15.460000,111.000000,270.000000,top
"IC1","IS61LV256AL-10TLI","IS61LV256AL10TLI",88.000000,38.000000,270.000000,top
"IC2","IS61LV256AL-10TLI","IS61LV256AL10TLI",75.000000,38.000000,270.000000,top
"IC3","IS61LV256AL-10TLI","IS61LV256AL10TLI",62.000000,38.000000,270.000000,top
"IC4","IS61LV256AL-10TLI","IS61LV256AL10TLI",49.000000,38.000000,270.000000,top
"J1","Conn_02x07_Odd_Even","PinHeader_2x07_P2.00mm_Horizontal_For_SeeedStudio",103.910000,115.140000,0.000000,top
"J2","650906-5","6509065",104.140000,2.540000,0.000000,top
"J3","10029449-111RLF (HDMI A)","HDMI_A_Amphenol_10029449-111",48.230000,112.330000,180.000000,top
"J4","A2541HWR-2x6P (Pmod 2x6 F R)","PinSocket_2x06_P2.54mm_Horizontal",86.210000,106.250000,270.000000,top
"JAB1","ZTEX_AB-ztex_AB","PinHeader_2x32_P2.54mm_Vertical_For_SeeedStudio",15.240000,55.000000,90.000000,top
"JCD1","ZTEX_CD-ztex_CD","PinHeader_2x32_P2.54mm_Vertical_For_SeeedStudio",15.240000,86.750000,90.000000,top
"R1","560","R_0603_1608Metric",15.460000,107.000000,90.000000,top
"R2","1M 500V 1206","R_1206_3216Metric",26.997500,110.000000,180.000000,top
"R3","22","R_0402_1005Metric",61.000000,96.500000,90.000000,top
"R4","22","R_0402_1005Metric",64.500000,96.500000,90.000000,top
"R5","22","R_0402_1005Metric",67.500000,94.000000,90.000000,top
"R6","22","R_0402_1005Metric",69.500000,94.000000,90.000000,top
"R7","22","R_0402_1005Metric",59.500000,96.500000,270.000000,top
"R8","22","R_0402_1005Metric",63.000000,96.500000,270.000000,top
"R9","22","R_0402_1005Metric",66.000000,94.000000,270.000000,top
"R10","22","R_0402_1005Metric",71.000000,94.000000,270.000000,top
"R11","10k","R_0402_1005Metric",87.610000,23.750000,90.000000,top
"R12","10k","R_0402_1005Metric",64.750000,48.750000,0.000000,top
"R13","10k","R_0402_1005Metric",90.000000,47.520000,0.000000,top
"R14","10k","R_0402_1005Metric",94.000000,111.815000,90.000000,top
"R15","10k","R_0402_1005Metric",96.000000,111.815000,90.000000,top
"R16","10k","R_0402_1005Metric",77.000000,47.520000,0.000000,top
"R17","10k","R_0402_1005Metric",64.000000,47.520000,0.000000,top
"R18","10k","R_0402_1005Metric",51.000000,47.520000,0.000000,top
"S1","SSAJ110100","SW_SSAJ110100",95.000000,115.500000,180.000000,top
"U1","SN74CB3T3245PWR","SOP65P640X120-20N",59.460000,20.000000,90.000000,top
"U2","SN74CB3T3245PWR","SOP65P640X120-20N",70.460000,20.000000,90.000000,top
"U3","SN74CB3T3245PWR","SOP65P640X120-20N",103.460000,20.000000,90.000000,top
"U4","SN74CB3T3245PWR","SOP65P640X120-20N",92.460000,20.000000,90.000000,top
"U5","SN74CB3T3245PWR","SOP65P640X120-20N",81.460000,20.000000,90.000000,top
"U6","SN74CB3T3245PWR","SOP65P640X120-20N",48.460000,20.000000,90.000000,top
"U7","SN74CB3T3245PWR","SOP65P640X120-20N",37.460000,20.000000,90.000000,top
"U8","SN74CB3T3245PWR","SOP65P640X120-20N",26.460000,20.000000,90.000000,top
"U9","SN74CB3T3245PWR","SOP65P640X120-20N",15.460000,20.000000,90.000000,top
"U10","SN74CB3T3245PWR","SOP65P640X120-20N",4.460000,20.000000,90.000000,top
"U11","SN74CB3T3245PWR","SOP65P640X120-20N",63.460000,68.000000,180.000000,top
"U12","TPD12S016PWR","SOP65P640X120-24N",46.555000,98.190000,90.000000,top
"U13","SN74CB3T3245PWR","SOP65P640X120-20N",60.750000,77.750000,90.000000,top
"U14","SN74LV1T125DCKR","SOT65P210X110-5N",86.960000,20.000000,270.000000,top
