Comment,Designator,Footprint
0402WGF0000TCE,"R6,R21,R49,R52",Resistor_SMD:R_0402_1005Metric
0402WGF1001TCE,"R46,R48,R51",Resistor_SMD:R_0402_1005Metric
0402WGF1002TCE,"R7,R8,R9,R10,R24,R38,R39,R40,R42,R45,R47,R50",Resistor_SMD:R_0402_1005Metric
0402WGF1003TCE,"R25,R26,R27",Resistor_SMD:R_0402_1005Metric
0402WGF330JTCE,"R22,R23",Resistor_SMD:R_0402_1005Metric
0402WGF4701TCE,"R1,R2,R3,R11,R17,R18,R19,R20,R53",Resistor_SMD:R_0402_1005Metric
0402WGF499JTCE,"R12,R13,R14,R15,R16",Resistor_SMD:R_0402_1005Metric
0402WGF5100TCE,"R35,R36,R37,R41,R43",Resistor_SMD:R_0402_1005Metric
10029449-111RLF,J1,ForJLPCB:HDMI_A_Amphenol_10029449-111
1206B102K202NT,C97,Capacitor_SMD:C_1206_3216Metric
650906-5,J2,ForJLCPCB:6509065
694106301002,J11,Connector_BarrelJack:BarrelJack_Wuerth_6941xx301002
AP1606,"Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q9",Package_DFN_QFN:Diodes_DFN1006-3
CH340N,U5,Package_SO:JEITA_SOIC-8_3.9x4.9mm_P1.27mm
CL05A474KA5NNNC,"C20,C21,C22,C23,C24,C25,C31,C33,C34,C35,C37,C41,C42,C43,C45,C48,C49,C50,C51,C52,C53,C54,C55,C60,C63,C65,C66,C67,C68,C70,C72,C74,C75,C76,C77,C121",Capacitor_SMD:C_0402_1005Metric
CL05A475MP5NRNC,"C26,C27,C32,C38,C44,C46,C57,C58,C59,C61,C62,C64,C71,C73,C120,C122",Capacitor_SMD:C_0402_1005Metric
CL05B103KB5NNNC,"C86,C92",Capacitor_SMD:C_0402_1005Metric
CL05B104KB54PNC,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C16,C17,C29,C30,C79,C81,C82,C83,C84,C94,C95,C96,C110,C112,C113,C114,C115,C117,C118,C119",Capacitor_SMD:C_0402_1005Metric
CL10A105KB8NNNC ,"C15,C18,C19,C80",Capacitor_SMD:C_0603_1608Metric
CL31A107MQHNNNE,"C28,C36,C39,C40,C47,C56,C69,C78",Capacitor_SMD:C_1206_3216Metric
CL31A226KAHNNNE,"C85,C87,C88,C89,C91,C93,C98,C100,C103,C108,C111,C125",Capacitor_SMD:C_1206_3216Metric
CPF0402B453KE1,R33,Resistor_SMD:R_0402_1005Metric
DW254W-22-12-85,J3,Connector_PinSocket_2.54mm:PinSocket_2x06_P2.54mm_Horizontal
FTC322512SR47MBCB,"L1,L2,L8",Inductor_SMD:L_Changjiang_FTC322512S
GRM1555C1H121GA01D,"C90,C99,C143",Capacitor_SMD:C_0402_1005Metric
HR1206J1M00P05Z,R31,Resistor_SMD:R_1206_3216Metric
KT-0603R,"D1,D2,D3,D4,D5,D6,D7,D9",LED_SMD:LED_0603_1608Metric
LM3881MMX/NOPB,U4,Package_SO:VSSOP-8_3x3mm_P0.65mm
MICROXNJ,"J4,J5",ForJLCPCB:MICROXNJ
PZ254V-11-06P,J13,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical
RT0402BRD07100KL,"R29,R32,R34",Resistor_SMD:R_0402_1005Metric
RT0402BRD07100RL,R44,Resistor_SMD:R_0402_1005Metric
RT0402BRD071KL,"R4,R5",Resistor_SMD:R_0402_1005Metric
RT0402BRD07200KL,R30,Resistor_SMD:R_0402_1005Metric
RT0402BRD0766K5L,R28,Resistor_SMD:R_0402_1005Metric
SN74CB3T16211DGGR,"IC3,IC4,IC5,IC6",Package_SO:TSSOP-56_6.1x14mm_P0.5mm
SN74LVC1G125DCKR,U7,Package_TO_SOT_SMD:Texas_R-PDSO-G5_DCK-5
SX3M100.000B20F30TNN,X1,Oscillator:Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm
SX3M54.000M20F30TNN,X2,Oscillator:Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm
T520B157M006ATE035,"C107,C116,C124",Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B
T520B337M2R5ATE009,"C102,C106,C123",Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B
TL3342F,PwrCtrlReset1,Button_Switch_SMD:SW_SPST_TL3342
TPD12S016PWR,U3,Package_SO:TSSOP-24_4.4x7.8mm_P0.65mm
TPS62823DLCR,"U11,U12,U13",Package_SON:Texas_VSON-HR-8_1.5x2mm_P0.5mm
W25Q128JVSIQ,U2,Package_SO:SOIC-8_5.3x5.3mm_P1.27mm
W971GG6NB25I,IC1,BGA84C80P9X15_900X1250X120
XC7A50T-1FTG256I,U1,Package_BGA:Xilinx_FTG256
